"Wijken en buurten";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)"
"Bedrijvengebied Kanaleneiland";"     2.7";"     5.9";"    10.0";"    12.0"
"Transwijk-Zuid";"     2.4";"     6.5";"    10.0";"    12.5"
"Transwijk-Noord";"     2.0";"     7.0";"    10.0";"    13.9"
"Kanaleneiland-Zuid";"     3.0";"     6.4";"    10.0";"    12.0"
"Kanaleneiland-Noord";"     2.6";"     7.0";"     9.9";"    13.3"
"Wijk 09 Leidsche Rijn";"     2.0";"     2.6";"     8.5";"    12.1"
"Bedrijventerrein De Wetering";"       .";"       .";"       .";"       ."
"Terwijde-West";"     2.9";"     2.0";"     8.0";"    12.0"
"Terwijde-Oost";"     2.2";"     2.7";"     8.0";"    12.0"
"Het Zand-West";"     2.5";"     2.0";"     8.2";"    12.0"
"Het Zand-Oost";"     1.8";"     2.9";"     8.4";"    12.0"
"Leidsche Rijn-Centrum";"     0.8";"     6.4";"     8.6";"    13.2"
"Grauwaart";"     1.2";"     5.3";"     8.5";"    12.5"
"Hoge Weide";"     1.1";"     2.1";"     9.0";"    12.0"
"Leeuwesteyn";"     0.6";"     3.0";"     9.0";"    12.0"
"Parkwijk-Noord";"     1.7";"     2.5";"     9.0";"    12.0"
"Parkwijk-Zuid";"     1.4";"     3.0";"     9.0";"    12.0"
"Langerak";"     2.0";"     1.9";"     9.0";"    12.0"
"Rijnvliet";"     2.5";"     2.1";"     9.0";"    12.0"
"Bedrijvengebied Strijkviertel";"       .";"       .";"       .";"       ."
"Bedrijvengebied Papendorp";"     3.4";"     5.7";"     9.3";"    12.0"
"Wijk 10 Vleuten-De Meern";"     2.4";"     1.5";"     8.0";"    12.0"
"Haarrijn";"     1.2";"     1.0";"     7.0";"    12.0"
"Haarzuilens en omgeving";"     2.6";"     1.0";"     3.3";"    11.2"
"Vleuten";"     0.8";"     1.5";"     8.0";"    12.0"
"Máximapark";"     1.9";"     1.6";"     8.0";"    12.0"
"Vleuterweide-West";"     1.9";"     1.0";"     7.0";"    12.0"
"Vleuterweide-Noord/Oost/Centrum";"     1.6";"     1.4";"     8.0";"    12.0"
"Vleuterweide-Zuid";"     2.5";"     1.4";"     7.5";"    12.0"
"Veldhuizen";"     3.5";"     1.3";"     8.0";"    12.0"
"De Meern-Noord";"     2.9";"     2.0";"     8.9";"    12.0"
"De Meern-Zuid";"     3.8";"     2.0";"     9.0";"    12.0"
"Bedrijvengebied Oudenrijn";"     2.8";"     1.6";"     9.0";"    12.0"
"Rijnenburg";"     3.8";"     0.9";"     6.5";"    12.0"
