buurtcode,naam,totaal
BU05051911,"Amstelwijck-West",224
BU19160601,"Amstelwijk",526
BU03639004,"Amsterdamse Bos",47
BU03639304,"Amsterdamse Poort",275
BU04201605,"Andijk Bangert",619
BU04201608,"Andijk Bedrijventerrein",263
BU04201610,"Andijk Buitengebied",2133
BU04201601,"Andijk Centrum",870
BU04201603,"Andijk Midden",437
BU04201602,"Andijk Oost",290
BU04201604,"Andijk Zuid",1109
BU03638701,"Andreasterrein",106
BU17050002,"Angeren",738
BU02020844,"Angerenstein",274
BU02990200,"Angerlo",718
BU02990201,"Angerlo's Broek",2709
BU03630610,"Anjeliersbuurt Noord",139
BU03630611,"Anjeliersbuurt Zuid",108
BU07941006,"Annabuurt en Suytkade",782
BU07160710,"Anna Jacobapolder",55
BU09832302,"Annakamp-Oost",681
BU09832303,"Annakamp-West",500
BU05050402,"Anna Paulownastraat en omgeving",137
BU04020606,"Anna's Hoeve",387
BU16212144,"Annie M.G. Schmidtpark Midden",1
BU05310501,"Antoniapolder",262
BU08670004,"Antoniusparochie",450
BU04847012,"Appelbuurt",373
BU02670203,"Appel/'t Woud",1876
BU00030000,"Appingedam-Centrum",1062
BU00030002,"Appingedam-Oost",2024
BU00030001,"Appingedam-West",1575
BU19600207,"Aquoy e.o.",959
BU04840809,"Archeon",926
BU03922105,"Archimedesbuurt",442
BU09950316,"Archipel, Beukenhof, Rozengaard",1197
BU05180546,"Archipelbuurt",1259
BU03633307,"Architectenbuurt",273
BU03920901,"Architectenbuurt",374
BU04020503,"Arenaparkkwartier",449
BU09831602,"Arenborg",391
BU01411102,"Arendsboer en omgeving Noord",189
BU01411104,"Arendsboer en omgeving Zuid",12
BU05180478,"Arendsdorp",1304
BU19780108,"Arkel-Buitengebied-Oost",1
BU19780107,"Arkel-Buitengebied-Zuid-West",264
BU19780104,"Arkel-Dorp",8
BU02670401,"Arkemheen",1337
BU19480301,"Armenhoef",237
BU08551202,"Armhoef Noord-Oost",180
BU08551201,"Armhoef Noord-West",154
BU08551203,"Armhoef Zuid",196
BU06873247,"Arnestein I",1802
BU06873248,"Arnestein II",600
BU02021155,"Arnhemse Allee",370
BU02020320,"Arnhemse Broek",327
BU06030643,"Artiestenbuurt",942
BU02140003,"Asch",14
BU09570601,"Asenray",724
BU09570600,"Asenray buitengebied",1432
BU19600800,"Asperen Oude Kern",704
BU09570804,"Asselt",484
BU04020605,"Astronomische Buurt",1639
BU09950221,"Atol",1470
BU07771014,"Attelaken",348
BU07480308,"Augustapolder",331
BU05050109,"Augustijnenkamp en omgeving",123
BU03550406,"Austerlitz",22
