buurtcode,naam,totaal
BU02740403,"De Kamp",17
BU15860115,"De Kamp Zuid",18
BU05010002,"De Kapel en omgeving",3
BU08556101,"De Katsbogten",600
BU07771013,"De Keen",1501
BU09570201,"De Kemp",865
BU06290005,"De Kieviet",3216
BU08555302,"De Kievit Noord-Oost",603
BU08555301,"De Kievit Noord-West",420
BU08555304,"De Kievit Zuid-Oost",758
BU08555303,"De Kievit Zuid-West",365
BU17340306,"de Kist",225
BU00807305,"De Klamp",196
BU03636911,"De Kleine Wereld",466
BU03639100,"De Klenckebuurt",279
BU04570104,"De Klomp",161
BU02286031,"De Klomp buitengebied",532
BU02286001,"De Klomp dorp",61
BU09940206,"De Kluis",42
BU15250102,"De Knip",558
BU03030706,"De Kolk",21
BU08281401,"De Kolk, Schonenberg en De Weem",832
BU04390202,"De Koog",443
BU04500001,"De Koog",34
BU04480001,"De Koog",360
BU05460302,"De Kooi",2690
BU07960804,"De Koornwaard",1634
BU02035402,"De Koot",234
BU04000607,"De Kooy",3
BU05130201,"De Korte Akkeren Nieuw",831
BU05130200,"De Korte Akkeren Oud",1101
BU02283031,"De Kraats/Nergena",941
BU01600801,"De Krim",46
BU03921303,"De Krim",979
BU01600802,"De Krim-Streekdorp",65
BU16740405,"De Krogten",529
BU02035540,"De Kromme Akker",193
BU09834106,"De Krosselt",23
BU03030434,"De Kruidentuin",556
BU07961107,"De Kruiskamp",2301
BU08556705,"De Kuil",477
BU02283001,"De Laar",1754
BU02022296,"De Laar-Oost",2770
BU02022295,"De Laar-West",2092
BU03751001,"De Ladder Noord",141
BU03751002,"De Ladder Zuid",218
BU07961303,"De Lage Kant",683
BU06875069,"De Lage Landen",34
BU03030432,"De Lancaster",269
BU03030430,"De Landmaten",866
BU03030433,"De Landstreken",360
BU07960707,"De Lanen",360
BU05184418,"De Lanen",1020
BU00340111,"De Laren",431
BU17350600,"Delden-Centrum",6
BU07530004,"De Leeuwerik",726
BU02930003,"De Leigraaf-De Steenderens",1027
BU03100505,"De Leijen",3328
BU06370201,"De Leyens",3267
BU03638702,"Delflandpleinbuurt Oost",215
BU03638703,"Delflandpleinbuurt West",539
BU05990320,"Delfshaven",842
BU05032700,"Delftzicht",318
BU17830703,"De Lier Centrumgebied",3
BU17830710,"De Lier West",12
BU08281808,"De Lithse Ham",744
BU02810006,"De Lok",151
BU17110523,"De Loop",327
BU02035404,"De Lors",641
BU01500702,"Deltabuurt",1011
BU04000404,"Deltabuurt",171
BU06220304,"Deltagebied",44
BU01680301,"De Lutte kern",159
BU02035539,"De Maat",515
BU03960600,"De Maer",1137
BU05130406,"De Mammoet",743
BU03030431,"De Manege",796
BU07360602,"de Maricken-Veenzijde",77
BU07942105,"De marke",239
BU00340106,"De Marken",2597
BU07480301,"De Markiezaten",475
BU09950228,"De Meent",245
BU00340104,"De Meenten",1298
BU07960207,"De Meerendonk",480
BU03441031,"De Meern-Noord",3731
BU03441032,"De Meern-Zuid",4183
BU09950733,"De Meierij, Kerspel",130
BU01730400,"De Meijbree",32
BU01660017,"De Melm",3
BU08281702,"Demen",644
BU05370604,"De Mient en Kooltuin",382
BU08094095,"De Moer",6
BU07961105,"De Moerputten",359
BU17741550,"De Mors",10
BU05790023,"De Morsebel",965
BU17420701,"De Mors en Plaagslagen",4
BU16520200,"De Mortel",528
BU08556704,"De Mortel",278
BU07960401,"De Muntel",588
BU03030104,"De Munten",1425
BU07960911,"De Muziekinstrumentenbuurt",425
BU03750303,"De Naald",91
BU08556703,"Den Bogerd",410
BU19240502,"Den Bommel buitengebied",69
BU04480000,"Den Burg",2337
BU03550506,"Den Dolder-Noord",843
BU03550505,"Den Dolder-Zuid",860
BU19691702,"Den Ham",54
BU17000300,"Den Ham",2
BU05031406,"Den Hoorn",754
BU04480005,"Den Hoorn",247
BU18420001,"Den Hoorn",1765
BU02260305,"De Nieuweling",592
BU18960406,"De Nieuwesluis",222
BU04150102,"Den Ilp",173
BU02741204,"Dennenkamp",1153
BU17730727,"Den Nul Kern",305
BU05370502,"De Noord",203
BU04060001,"De Noord",704
BU05750102,"De Noord",928
BU08280403,"De Noord",611
BU05890202,"de Noort syde",18
BU03630705,"Den Texbuurt",79
BU03510009,"Den Treek-Henschoten",2704
BU03030213,"De Oeverloperwijk",954
BU03635807,"De Omval",200
BU02210100,"De oude Stad binnen de gracht",15
BU08554101,"De Oude Warande",2706
BU04840805,"De Oude Wereld-Oost",541
BU04840804,"De Oude Wereld-West",446
BU07960606,"De Overlaet-Oost",1828
BU07960607,"De Overlaet-West",2064
BU02022319,"De Overmaat",465
BU06290100,"De Paauw",1539
BU02281201,"De Parken",530
BU05230003,"De Peulen",1129
BU03750900,"De Pijp",883
BU03630803,"de Plantage",318
BU06060203,"De Plantage",233
BU02260306,"De Ploen",227
BU08610103,"De Polders",1
BU02130303,"De Pothof",230
BU03638300,"De Punt",695
BU17301201,"De Punt",647
BU08520401,"De Purmer (gedeeltelijk)",215
BU08520010,"De Purmer (gedeeltelijk)",1070
BU00500003,"Derde woonwijk",4026
BU01840006,"De Reede",298
BU05184110,"De Reef",95
BU07960906,"De Reit",680
BU03730107,"De Rekere",38
BU17340703,"De Rietgraaf",107
BU02970104,"De Rietschoof",21
BU07961108,"De Rietvelden-Oost",348
BU07961109,"De Rietvelden-West",383
BU19160301,"De Rietvink / Veursestraatweg",1155
BU03611003,"De Rijp",10
BU16520600,"De Rips",796
BU05184317,"De Rivieren",1142
BU15250101,"De Rodes",547
BU07960908,"De Rompert",1277
BU05310203,"De Sandeling",443
BU17341004,"De Schalm",77
BU09950224,"De Schans",262
BU05470005,"De Schansen",503
BU07480405,"De Schans en Oude Molen",2070
BU01501003,"De Scheg",97
BU19480415,"De Scheifelaar",736
BU06640551,"De Schenge",356
BU07961106,"De Schutskamp",1855
BU02281203,"De Singels",649
BU00900003,"De Singels",2130
BU07960904,"De Slagen",675
BU07960910,"De Sprookjesbuurt",644
BU01840010,"De Staart",1322
BU07961006,"De Staatsliedenbuurt",757
BU02281204,"De States",663
BU02750103,"De Steeg",687
BU02035536,"De Steenkamp",137
BU00340171,"De Steiger",428
BU02280303,"De Steinen",1319
BU02740503,"De Stichting",88
BU04410191,"De Stolpen en Buitengebied",127
BU07861338,"De Stoof",12
BU07772011,"De Streek",1377
BU00900008,"De Swetten",1739
BU01731100,"De Thij",10
BU00100520,"Dethmerseiland",256
BU09831301,"De Tichelarij",827
BU00900132,"De Tike",336
BU08280906,"De Tillaard en De Elzen",566
BU01840008,"De Top",1241
BU00900013,"De Trisken",1099
BU03960605,"De Trompet",261
BU04061231,"De Tuit",82
BU05183399,"De Uithof",3824
BU07620000,"Deurne-Centrum",2545
BU08281700,"Deursen en Dennenburg",742
BU07961104,"Deuteren",643
BU02035411,"De Vaarst",1294
BU00340372,"De Vaart",2718
BU02035406,"De Valk",585
BU09940005,"De Valkenberg",138
BU02281303,"De Vallei",529
BU02284032,"De Veenen",386
BU00900128,"De Veenhoop",223
BU02670402,"De Veenhuis/Achterhoek",2839
BU05184419,"De Velden",1151
BU00340109,"De Velden",459
BU02280306,"De Velden en Beken",1921
BU18960408,"De Velde-Zwartewatersklooster",446
BU05184211,"De Venen",402
BU01660011,"De Venen",47
BU00900006,"De Venen",958
BU19260225,"De Venen Centrum",721
BU19260226,"De Venen/Craeyenburch",428
BU02280403,"De Venen en Zanden",965
BU19260227,"De Venen Oost",474
BU07620007,"De Vennen",219
BU03010202,"Deventerweg en Polbeek",5
BU05530301,"Dever",93
BU02260304,"De Vergert",984
BU06220301,"De Vergulde Hand",224
BU07942101,"De Veste",663
BU09950220,"De Veste",463
BU05300000,"De Vesting",41
BU05184420,"De Vissen",2054
BU07960402,"De Vliert",1970
BU06060906,"De Vlinderhoven/Sveaholm",417
BU01770108,"De Vloedkampen",8
BU05470003,"De Vogelwijk",733
BU03990801,"De Volkstuinen",10
BU16670002,"De Voort en Achterste Heikant",267
BU03401301,"De Vordel",36
BU19520406,"De Vosholen-Oost",194
BU19520304,"De Vosholen-West",182
BU08650104,"De Vughtse Hoeven",1080
BU07961202,"De Vutter",235
BU00801001,"De Waag",134
BU04480003,"De Waal",64
BU01660303,"De Waard",157
BU05460109,"De Waard",658
BU03961002,"De Wadden",438
BU06140101,"De Waranda",309
BU03850402,"De Watering",983
BU07960705,"De Watertuinen",346
BU17341704,"De Weem",103
BU04320200,"De Weere",999
BU19110002,"De Weere (gedeeltelijk)",160
BU06420112,"De Were en omgeving",13
BU03530020,"De Wereldsteden",15
BU00807303,"De Werp",268
BU00340102,"De Werven",1277
BU04820105,"De Werven",166
BU03637502,"De Wester Quartier",99
BU03635506,"De Wetbuurt",260
BU03270106,"De Wetering",842
BU02035535,"De Wheem",497
BU00340108,"De Wierden",1433
BU03562200,"De Wiers",971
BU09570303,"De Wijher en omgeving",1586
BU15810004,"De Wijngaard",74
BU00900002,"De Wiken",1268
BU00900005,"De Wiken-Oost",1114
BU00900126,"De Wilgen",589
BU08280501,"De Winkel",107
BU03631400,"De Wittenbuurt Noord",97
BU03631401,"De Wittenbuurt Zuid",55
BU02431005,"De Wittenhagen-Noord",328
BU02431006,"De Wittenhagen-Zuid",332
BU17340202,"de Wuurde",667
BU04000701,"De Zandloper",151
BU19160100,"De Zijde",1068
BU03420601,"De Zoom",152
BU04797110,"De Zuid",2076
BU04060002,"De Zuid",870
BU00807304,"De Zuidlanden",110
BU17340207,"de Zuiling",400
BU00804102,"De Zwette I Harlingervaart",152
BU00804104,"De Zwette III Schenkenschans",166
BU00804103,"De Zwette II Zwettehaven",211
BU00804105,"De Zwette IV Businesspark",332
BU00804106,"De Zwette V Newton",222
BU03632600,"Diamantbuurt",325
BU08280602,"Dichtersbuurt",1364
BU04570201,"Dichtersbuurt",356
BU05020224,"Dichtersbuurt",717
BU06420506,"Dichtersbuurt-Midden",41
BU05300005,"Dichters- en Schrijversbuurt",15
BU03440811,"Dichterswijk",730
BU19550201,"Didam-Noord",126
BU19550200,"Didam-Zuid",17
BU00370107,"Dideldom",82
BU08281701,"Dieden",1052
BU19610302,"Diefdijk (gedeeltelijk)",11
BU09070409,"Diekendaal-Nieuwerf",1035
BU05890302,"Diemerbroek",7
BU03634900,"Diepenbrockbuurt",356
BU05020442,"Diepenbuurt",248
BU19690401,"Diepswal",31
BU02960123,"Diepvoorde",4
BU05032302,"Dierenbuurt",274
BU02750001,"Dieren-Noord boven spoorlijn",2419
BU02750002,"Dieren-West boven spoorlijn",1515
BU02750000,"Dieren-Zuid beneden spoorlijn",1484
BU17110628,"Diergaarde",4157
BU07980300,"Diessen",2082
BU17110209,"Dieteren",191
BU03921403,"Dietsveld",207
BU01931130,"Dieze-Centrum",336
BU04820201,"Dijk",93
BU19780603,"Dijkgebied-Groot-Ammers",114
BU19780901,"Dijkgebied-Kinderdijk",6
BU19781302,"Dijkgebied-Nieuwpoort",10
BU18420106,"Dijkpolder",361
BU01411400,"Dijkstraat en omgeving",181
BU07530016,"Dijkstraten",387
BU05990119,"Dijkzigt",813
BU03550202,"Dijnselburg",32
BU02283051,"Dikkenberg",524
BU01470004,"Dikkerslaan-Molenkampsweg en omgeving",154
BU08510300,"Dinteloord",4726
BU04410801,"Dirkshorn (woonkern)",810
BU19240705,"Dirksland buitengebied",156
BU19240704,"Dirksland industriegebied",17
BU04000409,"Dirksz Admiraal",642
BU07170901,"Dishoek",181
BU07880201,"Distelberg",314
BU06060309,"Distillateursbuurt",236
BU06260009,"Dobbewijk",120
BU05460902,"Dobbewijk-Noord",888
BU05460903,"Dobbewijk-Zuid",1436
BU02282032,"Doesburg",2344
BU05470101,"Doeskwartier",386
BU19690001,"Doezum",48
BU00100306,"Doklanden",117
BU07170400,"Domburg",2075
BU08580106,"Dommelen",1347
BU03440611,"Domplein, Neude, Janskerkhof",352
BU03635503,"Don Bosco",247
BU17301000,"Donderen",305
BU19420201,"Donderstraat",234
BU07660112,"Dongen-Vaart",851
BU08555201,"Dongewijk Noord",702
BU08555202,"Dongewijk Zuid",179
BU19492501,"Dongjum",102
BU16590001,"Donk",2155
BU04000304,"Donkere Duinen",25
BU05971000,"Donkersloot",2753
BU16520004,"Doonheide",906
BU07723220,"Doornakkers-Oost",964
BU07723210,"Doornakkers-West",1080
BU07580101,"Doornbos-Linie",2219
BU17050003,"Doornenburg",568
BU19480416,"Doornhoek en Kempkens",1795
BU02300300,"Doornspijk",485
BU02670118,"Doornsteeg",520
BU15810002,"Doorn-West",71
BU15810003,"Doorn-Zuid",179
BU03560500,"Doorslag",3588
BU02740702,"Doorwerthse Bossen",1974
BU02740402,"Doorwerthsestraat",94
BU02740701,"Doorwerthse Waarden",316
BU02740801,"Doorwerth Zuid",800
BU04000803,"Doorzwin",584
BU05059804,"Dordtse Biesbosch",3749
BU05050707,"Dordtse Hout",570
BU05051910,"Dordtse Kil I",576
BU05051916,"Dordtse Kil II",502
BU05051917,"Dordtse Kil III",900
BU05051919,"Dordtse Kil IV",653
BU04893054,"Dordtsestraatweg",132
BU00140905,"Dorkwerd",61
BU05991702,"Dorp",2975
BU06370001,"Dorp",1524
BU06875058,"Dorp",370
BU05370800,"Dorp",595
BU05310101,"Dorp",2476
BU05370301,"Dorp",1662
BU01501501,"Dorp Bathmen",2884
BU01501002,"Dorp Colmschate",640
BU01630800,"Dorp Daarle",100
BU01630900,"Dorp Daarlerveen",69
BU01501101,"Dorp Diepenveen",4699
BU03639800,"Dorp Driemond",232
BU01501401,"Dorp Lettele",471
BU01530900,"Dorp Lonneker",171
BU06380007,"Dorp Noord",527
BU18920303,"Dorp Noord",680
BU06420802,"Dorp-Noordoost",1
BU04511500,"Dorpscentrumcentrum",380
BU01501201,"Dorp Schalkhaar",2818
BU05750100,"Dorpskern",311
BU06380006,"Dorpskern",21
BU05750000,"Dorpskern",3054
BU03638809,"Dorp Sloten",352
BU15980109,"Dorpsstraat en omgeving",18
BU17240203,"Dorpstraat-Sengelsbroeksestraat",10
BU15980202,"Dorpsweg en omgeving",25
BU03010500,"Dorp Warnsveld",196
BU06290101,"Dorp Wassenaar",1366
BU04891023,"Dorpzicht",512
BU06380005,"Dorp Zuid",408
BU06420803,"Dorp-Zuidoost",38
BU18920411,"Dorrestein-Noord",817
BU18920416,"Dorrestein-Zuid",774
BU08261300,"Dorst",99
BU01501503,"Dortherhoek",1181
BU05050703,"Dorus Rijkersstraat en omgeving",352
BU05460104,"d'Oude Morsch",186
BU02130102,"Dovenkamp",217
BU04847005,"Draaistok",594
BU00900123,"Drachtstercompagnie",2473
BU03450104,"Dragonder-Oost",9
BU01411801,"Drakensteyn en omgeving",418
BU15980604,"Drechterlandsedijk en omgeving",54
BU16760300,"Dreischor",400
BU18760403,"Drempt",80
BU07726240,"Drents Dorp",931
BU04820305,"Drentsebuurt",222
BU06220701,"Drevenbuurt",2811
BU05183398,"Dreven en Gaarden",3562
BU02741203,"Dreyeroord",365
BU04980307,"Drieban (gedeeltelijk), Hem",1008
BU04980308,"Drieban (gedeeltelijk), Venhuizen",505
BU19010831,"Driebruggen",357
BU03635702,"Drieburg",63
BU06130623,"Driehoek",383
BU03630600,"Driehoekbuurt",113
BU05050903,"Driehoek en omgeving",604
BU07725110,"Driehoeksbos",1660
BU19040308,"Driehoven",36
BU04530005,"Driehuis-Dorp",890
BU03610905,"Driehuizen",43
BU02431205,"Drielanden-Centrum",255
BU06370004,"Driemanspolder",2029
BU06290000,"Drie Papegaaien",2391
BU02282051,"Driesprong/Ginkel",3470
BU05970400,"Drievliet",2743
BU06540301,"Driewegen (Kern)",234
BU02430807,"Drift",131
BU19010309,"Dronenwijk",938
BU19492601,"Dronryp Bedrijventerrein de Alde Mar",8
BU19492602,"Dronryp Midden",606
BU19492603,"Dronryp Oost",928
BU19492604,"Dronryp West",303
BU01770103,"Drostenkamp",3
BU16810300,"Drouwen",570
BU16810600,"Drouwenermond",1053
BU16810500,"Drouwenerveen",183
BU09831502,"Dr. Poelsplein e.o.",675
BU02810104,"Drumpt",743
BU02250001,"Druten",134
BU02250005,"Druten Buitengebied",80
BU02250002,"Druten Zuid",55
BU05051006,"Dubbeldam-Noord",2133
BU05051007,"Dubbeldam-Zuid",4229
BU19480417,"Dubbelen",994
BU00340405,"Duin",1359
BU19480214,"Duin 1",789
BU19480215,"Duin 2",460
BU04000303,"Duinbuurt",561
BU06290003,"Duindigt met Groenendaal",2880
BU05180800,"Duindorp",471
BU03830421,"Duin en Bosch",110
BU04530608,"Duinenbuurt",429
BU03420704,"Duinen Gebied",20
BU03830431,"Duingebied",40
BU03960409,"Duingebied",1
BU05300900,"Duinhoeck",279
BU06140106,"Duinoord",119
BU04530503,"Duinvlietbuurt",239
BU05180476,"Duinzigt",1645
BU02740603,"Duitsekampweg",433
BU03634709,"Duivelseiland",113
BU04370001,"Duivendrecht",612
BU19160101,"Duivenvoorde",881
BU07700100,"Duizel",33
BU07170502,"Duno",532
BU03637303,"Durgerdam",5
BU19590501,"Dussen",41
BU05180374,"Duttendel",2067
BU04390303,"Dwarsgouw",438
BU17081706,"Dwarsgracht",1
BU00808203,"Eagum",84
BU00808116,"Easterlittens",252
BU03639400,"E-buurt",246
BU17741650,"Echelpoel",14
BU17110524,"Echt Centrum",1374
BU19401102,"Echtenerbrug-Kom",13
BU17110629,"Echterbosch",36
BU17110525,"Echt Noord",1209
BU07725410,"Eckart",1705
BU07724360,"Eckartdal",401
BU19030401,"Eckelrade",42
BU05031402,"Ecodus",378
BU09832806,"Ecopark",976
BU03631500,"Ecowijk",130
BU03850002,"Edam-Industriegebied",305
BU03850005,"Edam-Molenbuurt",1000
BU03850001,"Edam-Oude kom",1625
BU03850004,"Edam-Singelwijk",435
BU03850003,"Edam-Zuid",545
BU09951029,"Edelhert-, Runder-, Wisent-, Elandweg",973
BU04840306,"Edelstenenbuurt",610
BU06873171,"Edelstenenbuurt",974
BU02285031,"Ederveen buitengebied",1186
BU02285001,"Ederveen dorp",1508
BU17140300,"Eede",212
BU02620401,"Eefde",3
BU02690203,"Eekt",19
BU01730800,"Eekte-Hazewinkel",21
BU17300700,"Eelde",2832
BU17300800,"Eelderwolde",204
BU00100416,"Eelwerd",91
BU03170210,"Eembrugge",100
BU03080104,"Eemdal-Noord",794
BU03080105,"Eemdal-Zuid",699
BU03130003,"Eemdijk",54
BU03420404,"Eemgebied",32
BU05992196,"Eemhaven",957
BU03080109,"Eemland waaronder Eembrugge",306
BU03170211,"Eemmeer-Eemnes",43
BU03170213,"Eempolder",124
BU03637804,"Eendrachtspark",27
BU08200003,"Eeneind",2259
BU04410494,"Eenigenburg en Buitengebied",403
BU19661100,"Eenrum",6
BU00240305,"Eenum",158
BU02130600,"Eerbeek centrum",336
BU02130605,"Eerbeekse Enk",702
BU02130606,"Eerbeek Zuid",207
BU19480418,"Eerde",508
BU19480311,"Eerschot",793
BU07700000,"Eersel-kom en Lindeakkers",19
BU07700002,"Eersel-Zuid",61
BU16811501,"Eerste Exloërmond",1286
BU00500001,"Eerste woonwijk",2530
BU17741611,"Eertman",31
BU16810900,"Ees",316
BU16810901,"Eesergroen",149
BU17082100,"Eesveen",42
BU19591701,"Eethen",70
BU07941202,"Eeuwsels",2081
BU18950601,"Eexta",36
BU18950603,"Eexta-Zuid",5
BU07580508,"Effen-Rith",6007
BU01630505,"Egede, Elen en Rhaan",517
BU03440224,"Egelantierstraat, Mariëndaalstraat e.o.",269
BU04020506,"Egelshoek",248
BU03730600,"Egmond aan den Hoef",20
BU03730400,"Egmond aan Zee",1
BU03730500,"Egmond-Binnen",54
BU05051003,"Egstraat en omgeving",165
BU19030000,"Eijsden-Breust",39
BU06030962,"Eikelenburg",423
BU17730829,"Eikelhof",2954
BU08556609,"Eikenbosch",1224
BU07722250,"Eikenburg",735
BU08670012,"Eikendonk",1267
BU08560117,"Eikenheuvel",169
BU03960201,"Eikenhof",289
BU08730101,"Eiland",126
BU00340311,"Eilandenbuurt",1291
BU05020445,"Eilandenbuurt",380
BU06060402,"Eilandenbuurt",114
BU17340101,"Eimeren",129
BU02021887,"Eimersweide",396
BU06640660,"Eindewege",145
BU07726380,"Eindhoven Airport",906
BU18830402,"Einighausen",1244
BU19401301,"Elahuizen",35
BU03630606,"Elandsgrachtbuurt",190
BU02300103,"Elburg De Vrijheid",960
BU02300102,"Elburg-Oosthoek",1348
BU02300100,"Elburg Stad",962
BU02300101,"Elburg West en havengebied",1080
BU02022092,"Elden",1404
BU02022197,"Elderhof",1346
BU02022194,"Elderveld-Noord",588
BU02022191,"Elderveld-Zuid",1046
BU04020602,"Electrobuurt",395
BU07726110,"Eliasterrein, Vonderkwartier",646
BU03440232,"Elinkwijk en omgeving",630
BU08553103,"Elisabethziekenhuis",234
BU05470009,"Elizabethhof",338
BU17290103,"Elkenrade",141
BU03730108,"Elkshove",7
BU02750004,"Ellecom",1005
BU16761100,"Ellemeet",277
BU19500404,"Ellersinghuizen",321
BU03922004,"Ellertsveld",969
BU06540401,"Ellewoutsdijk (Kern)",151
BU06031082,"Elsenburg",2327
BU16520300,"Elsendorp",545
BU15250404,"Elsgeesterpolder",273
BU17730930,"Elshof",3879
BU07970200,"Elshout",35
BU02281101,"Elskamp",1113
BU02960131,"Elsland",1
BU03020100,"Elspeet",1114
BU03401302,"Elst Centrum",2
BU17340303,"Elst Centrum Noordzijde",236
BU17340203,"Elst centrum Zuidzijde",507
BU03401304,"Elst West",150
BU02020527,"Elsweide",193
BU04530703,"Eltabuurt",274
BU02130309,"Elzenbos",158
BU08280500,"Elzenburg",1210
BU03637402,"Elzenhagen Noord",473
BU03637401,"Elzenhagen Zuid",167
BU02810100,"Elzenpas",1636
BU07722130,"Elzent-Noord",452
BU07722180,"Elzent-Zuid",204
BU03638501,"Emanuel van Meterenbuurt",498
BU07580607,"Emer",1684
BU19260343,"Emerald Centrum",804
BU19260342,"Emerald Noord",522
BU19260344,"Emerald Zuid",651
BU09940003,"Emmaberg",167
BU04840501,"Emmalaan",424
BU05050403,"Emmastraat en omgeving",152
BU01710113,"Emmeloord-Emmelhage-Boswonen",23
BU02130100,"Empe Kern",109
BU19480109,"Empeldonk",323
BU07960803,"Empel-Oost",1566
BU00804108,"EnergieCampus Sylsterrak",25
BU07961206,"Engelermeer",1361
BU07726130,"Engelsbergen",735
BU02281004,"Enka",1340
BU03880003,"Enkhuizen-Noord",859
BU08556613,"Enschot Midden",211
BU08556612,"Enschot Oost",543
BU08556614,"Enschotse Akkers",113
BU08556616,"Enschot West",151
BU08556617,"Enschot Zuid",235
BU19600101,"Enspijk",123
BU19600108,"Enspijk e.o.",961
BU03633306,"Entrepot-Noordwest",221
BU17290500,"Epen",460
BU17290501,"Eperheide",237
BU19660605,"Eppenhuizen",39
BU02620402,"Epse",125
BU01500706,"Epse-Noord",548
BU03922106,"Erasmusbuurt",659
BU05050302,"Erasmuslaan en omgeving",306
BU03633704,"Erasmusparkbuurt Oost",115
BU03633802,"Erasmusparkbuurt West",512
BU05184001,"Erasmus Veld",1294
BU06873039,"Erasmuswijk",727
BU04020702,"Erfgooiersbuurt",406
BU04840303,"Ericapark",549
BU19450400,"Erlecom",41
BU02330000,"Ermelo",6813
BU02330001,"Ermelo-Oost",2836
BU02330002,"Ermelo-West",2973
BU19480110,"Erp Centrum",408
BU19480419,"Erpseweg Zuid",1067
BU19480111,"Erp Zuid",714
BU07961111,"Ertveld",852
BU05020773,"Ervenbuurt",652
BU07980100,"Esbeek",692
BU02289031,"Eschoter Veld",831
BU17340602,"Eshof",143
BU07725450,"Esp",1177
BU18920408,"Esse Hoog",607
BU18920409,"Esse Laag",1033
BU01501007,"Essenerveld",538
BU06873083,"Essenvelt",238
BU19160804,"Essesteijn / Dreven",1265
BU19160800,"Essesteijn / Gaarden",473
BU19160803,"Essesteijn / Tuinen",745
BU19160802,"Essesteijn / Weiden",512
BU18920413,"Esse Zoom Laag",533
BU19600604,"Est",156
BU07861349,"Estersveld",31
BU17290101,"Etenaken",111
BU16690602,"Etsberg",32
BU15090003,"Etten",82
BU16740302,"Ettingen",1053
BU04390705,"Europa",1316
BU00340401,"Europakwartier",729
BU03530005,"Europakwartier",48
BU04840802,"Europaplein",553
BU05992307,"Europoort",2152
BU08280605,"Euterpelaan-Noord",370
BU09940008,"Euverem",55
BU17290002,"Euverem, Pesaken, Billinghuizen en Waterop",495
BU04840806,"Evenaar-Oost",431
BU04840803,"Evenaar-West",608
BU15250103,"Everlasting",508
BU02620209,"Exel Tol",40
BU16811502,"Exloërveen",303
BU16811100,"Exloo",2217
BU05181983,"Eykenduinen",911
BU17290202,"Eyserheide",59
BU17290200,"Eys-Overeys",475
BU08553201,"Ezelvense Akkers",550
BU06060303,"Fabribuurt",122
BU04000405,"Falga",406
BU03631403,"Fannius Scholtenbuurt",191
BU00100307,"Farmsum",411
BU05020992,"Fascinatio-oost",392
BU05020991,"Fascinatio-west",399
BU09881401,"Fatima",23
BU08551403,"Fatima Noord",53
BU08551402,"Fatima Oost",299
BU16740101,"Fatima-villapark",1488
BU08551401,"Fatima West",171
BU09951132,"Fauna, Bosvalkweg, Zuiderpoort",216
BU00340307,"Faunabuurt",2078
BU03639303,"F-buurt",190
BU05991087,"Feijenoord",1620
BU00806303,"Feinsum",81
BU03630202,"Felix Meritisbuurt",238
BU00141802,"Felland",29
BU07580003,"Fellenoord",507
BU07721140,"Fellenoord",241
BU00900014,"Fennepark",1038
BU17090700,"Fijnaart",2749
BU03637501,"Filips van Almondekwartier",59
BU00340202,"Filmwijk",5082
BU04061226,"Filosofenbuurt",799
BU19492700,"Firdgum",130
BU00100518,"Fivelmonde",625
BU00100519,"Fivelzigt",123
BU05032504,"Fledderusbuurt",737
BU01830700,"Fleringen kern",187
BU04060204,"Flevo",757
BU09951071,"Flevobos",1
BU03633203,"Flevopark",90
BU09951082,"Flevopoort I",14
BU09951081,"Flevopoort II",152
BU17050104,"Flieren",24
BU07726370,"Flight Forum",921
BU04820306,"Florabuurt",313
BU05020662,"Florabuurt",368
BU09951112,"Flora Midden",588
BU09951113,"Flora Oost PIL",133
BU03920202,"Florapark",328
BU07430103,"Florapark",47
BU04530804,"Florarondebuurt",435
BU09951111,"Flora West",342
BU09832811,"Floriade Park",388
BU02740205,"Fluitersmaat",526
BU03750701,"Fokkerlaan",624
BU17210502,"Fokkershoek",133
BU03561000,"Fokkesteeg",2218
BU04000208,"Fort Dirksz Admiraal",63
BU04000207,"Fort Erfprins",39
BU05460503,"Fortuinwijk-Noord",1728
BU05460507,"Fortuinwijk-Zuid",1986
BU19520701,"Foxhol",329
BU19520702,"Foxhol Industriegebied",287
BU19492801,"Franeker Alvestudewyk",131
BU19492802,"Franeker Binnenstad",668
BU19492803,"Franeker Bloemketerp en Watertorenbuurt",597
BU19492804,"Franeker Hamburgerrak en st Want",496
BU19492806,"Franeker Industrieterrein Oost",52
BU19492807,"Franeker Industrieterrein Zuid",46
BU19492805,"Franeker Industrieter. West en Kie",281
BU19492808,"Franeker It Stiselplak",868
BU19492809,"Franeker Kaatsersbuurt",274
BU19492810,"Franeker Keningspark",948
BU19492811,"Franeker Professorenbuurt",548
BU19492812,"Franeker Schalsumerplan en Arkens",665
BU19492813,"Franeker Sexbierumerplan",454
BU19492814,"Franeker Stationsbuurt",100
BU19492815,"Franeker 't War",255
BU19492816,"Franeker Vliet Tuinen en Frisia",239
BU19492817,"Franeker Witzens",465
BU08280807,"Frankenbeemd",125
BU03635504,"Frankendael",551
BU02281301,"Frankeneng",860
BU03520002,"Frankenhof",199
BU06060304,"Frankenland",238
BU01932200,"Frankhuis",2220
BU19420306,"Fransekamp",129
BU03632402,"Frans Halsbuurt",206
BU03921004,"Frans Halsbuurt",231
BU03631600,"Frederik Hendrikbuurt Noord",333
BU03631601,"Frederik Hendrikbuurt Zuidoost",165
